codigo_region,nombre_region,codigo_provincia,nombre_provincia,codigo_comuna,nombre_comuna,poblacion,pobreza_personas,pobreza_porcentaje,pobreza_porcentaje_inf,pobreza_porcentaje_sup,presencia_de_la_comuna_en_la_muestra_casen,tipo_de_estimacion_sae
7,Maule,71,Talca,7105,Maule,69826,16998.89484212508,0.2434464933137382,0.2025306314979629,0.2843623551295135,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7106,Pelarco,9444,2140.310630317384,0.2266317905884566,0.1781181801960209,0.2751454009808924,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7107,Pencahue,8631,2151.90976236951,0.2493233417181683,0.1973390005272015,0.301307682909135,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7108,Río Claro,15172,3071.58240118321,0.2024507250977597,0.1542680403984984,0.250633409797021,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7109,San Clemente,48176,11161.4799504979,0.2316813340770903,0.1907121337434444,0.2726505344107362,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7110,San Rafael,10444,2425.96679548516,0.2322833009847912,0.1879040156106345,0.276662586358948,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,72,Cauquenes,7201,Cauquenes,44443,12612.69206647188,0.2837947948264491,0.236104533599562,0.3314850560533363,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,72,Cauquenes,7202,Chanco,9244,2969.741058488462,0.3212614732246281,0.2717841989934969,0.3707387474557593,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,72,Cauquenes,7203,Pelluhue,8474,2613.940030821535,0.3084658993180948,0.2427802572038862,0.3741515414323034,Sí,Sintética
7,Maule,73,Curicó,7301,Curicó,172304,35410.58643386852,0.2055122715309483,0.1769749068776327,0.234049636184264,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7302,Hualañé,10228,2579.225786035214,0.2521730334410651,0.2054125521012997,0.2989335147808305,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7303,Licantén,6982,1653.993569870393,0.2368939515712394,0.1896853597940742,0.2841025433484046,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7304,Molina,52306,11530.27018660811,0.2204387677629356,0.1816252121851557,0.2592523233407156,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7305,Rauco,11811,2858.586957577295,0.2420275131299039,0.190863892702234,0.2931911335575738,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7306,Romeral,17008,3484.074573007724,0.2048491635117429,0.1595084794628949,0.250189847560591,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7307,Sagrada Familia,19779,3822.695646992433,0.1932704204961036,0.149891627799812,0.2366492131923952,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7308,Teno,31984,6606.97179619372,0.2065711542081578,0.1627307220929763,0.2504115863233393,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,73,Curicó,7309,Vichuquén,4301,1009.134100142498,0.2346277842693554,0.1843991860743006,0.2848563824644103,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7401,Linares,104212,30354.17700252488,0.2912733370679468,0.251307076522594,0.3312395976132996,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7402,Colbún,23560,6465.047826090989,0.2744078024656617,0.2246523527242832,0.3241632522070402,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7403,Longaví,33731,8937.753517042203,0.2649714955691264,0.2171412532314472,0.3128017379068057,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7404,Parral,45668,12643.48062885555,0.2768564559178319,0.2300479344631255,0.3236649773725383,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7405,Retiro,21522,5806.12611400384,0.2697763272002528,0.2208736770499694,0.3186789773505362,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7406,San Javier,51669,13348.58061623842,0.2583479575033079,0.2175436175150364,0.2991522974915795,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7407,Villa Alegre,18084,4424.009639954951,0.2446366755117756,0.1963462267403142,0.2929271242832371,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,74,Linares,7408,Yerbas Buenas,19856,4884.458025740687,0.2459940585082941,0.1987560097175388,0.2932321072990494,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8101,Concepción,239746,36871.21305540475,0.1537928184637272,0.1306078186202085,0.1769778183072459,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8102,Coronel,129209,27522.52623481528,0.2130078108708781,0.1851061245665162,0.2409094971752399,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8103,Chiguayante,92011,15216.63908840732,0.1653784774473413,0.134253892148174,0.1965030627465086,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8104,Florida,11876,2926.486367326433,0.2464202060732934,0.1950850318507367,0.2977553802958502,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8105,Hualqui,26783,6085.404095625271,0.227211443662968,0.1819884831874498,0.2724344041384861,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8106,Lota,45369,7830.696745855275,0.1726001619135373,0.1338054295935814,0.2113948942334933,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8107,Penco,50214,8756.872120545748,0.1743910487223831,0.1378840065148784,0.2108980909298878,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8108,San Pedro de la Paz,154158,25729.03977824472,0.1669004513437169,0.1390230270843108,0.1947778756031231,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8109,Santa Juana,14898,3605.980867894322,0.2420446279966655,0.194037182338834,0.290052073654497,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8110,Talcahuano,158065,27562.29293221439,0.1743731561839394,0.1459914698474341,0.2027548425204448,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8111,Tomé,59176,12541.73709273265,0.2119395885617928,0.172126414230155,0.2517527628934307,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,81,Concepción,8112,Hualpén,98086,17303.50440796166,0.176411561364126,0.1457187407441711,0.2071043819840809,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,82,Arauco,8201,Lebu,27147,7733.04183736985,0.2848580630408462,0.2378921984505807,0.3318239276311116,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,82,Arauco,8202,Arauco,38962,8958.506415007005,0.2299293263951287,0.1862861845176057,0.2735724682726517,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,82,Arauco,8203,Cañete,37471,10925.5570546067,0.2915736717623414,0.2388639385598127,0.3442834049648702,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,82,Arauco,8204,Contulmo,6358,1575.217704797856,0.2477536497008266,0.1966427235870307,0.2988645758146224,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,82,Arauco,8205,Curanilahue,33949,5593.105797589524,0.1647502370493836,0.1262836965626055,0.2032167775361617,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,82,Arauco,8206,Los Álamos,22992,4487.898095585799,0.1951938976855341,0.149316641004094,0.2410711543669741,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,82,Arauco,8207,Tirúa,11116,3961.184542325682,0.3563498148907595,0.2976146071165711,0.4150850226649478,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,83,Biobío,8301,Los Ángeles,224170,43359.47499876476,0.1934222911128374,0.1688893096245938,0.217955272601081,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,83,Biobío,8302,Antuco,4330,1304.98190192293,0.301381501598829,0.2384935091037825,0.3642694940938755,Sí,Sintética
8,Biobío,83,Biobío,8303,Cabrero,31129,6184.743021378562,0.1986810697863266,0.1575600736286851,0.2398020659439682,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,83,Biobío,8304,Laja,23924,5395.662374070845,0.2255334548600086,0.1809991492343683,0.2700677604856488,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,83,Biobío,8305,Mulchén,31115,7623.708016477585,0.2450171305311774,0.2004621993739149,0.2895720616884399,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,83,Biobío,8306,Nacimiento,28030,5607.52121552564,0.2000542709784388,0.1601716755513816,0.2399368664054961,Sí,Directa y Sintética (Fay-Herriot)
8,Biobío,83,Biobío,8307,Negrete,10594,1842.074052569445,0.1738789930686657,0.1343792360728254,0.2133787500645061,Sí,Directa y Sintética (Fay-Herriot)
